Flag,Name,Addresses,MAC,Type,Maps,Services Down,Notes
up,Patch Panel Serraria,192.168.20.100,MicrochipT:A5:39:74,,Serraria,,1 - NETPAL_SERRARIA  2 - NETPAL_SERRARIA_VASSOURAL  3 - NETPAL_SERRARIA_BOPP  4 estragada  5 - NETPAL_SERRARIA_RANCHINHO  6 - NETPAL_SERRARIA_PORTEIRAVELHA  7 - NETPAL_SERRARIA_FAZFUNDO  8 - NETPAL_SERRARIA_LAGOA  9 - NETPAL_SERRARIA_SAOJOAO
up,Patch Panel Pangare,192.168.20.133,MicrochipT:21:34:35,,Pangare,,1 - Enlace FSB  2 - AP_NETPAL_PANGARE - 5.8  3 - NETPAL_PANGARE_CASAMENTO  4 - Patch Panel  5 - Switch OIW
up,NETPAL_PANGARE_CASAMENTO,192.168.20.253,UbiquitiNe:CC:9C:32,,Pangare,,
up,NETPAL_JDF_PASSINHOS,192.168.22.6,UbiquitiNe:BE:B9:1F,,JDF,,
up,NETPAL_RANCHOVELHO_LINHADAIGREJA,192.168.21.249,UbiquitiNe:26:F0:C4,,Rancho Velho,,
up,Adylnet (TRE PWW),177.72.105.78,02:1D:FC:C7:94:F1,,Last Mile,,
up,BGP - Jardim Formoso,177.72.104.54,04:8C:16:CC:2F:BC,Some Device,DC Capivari do Sul,,
up,NETPAL_TARUMA_CENTRO,192.168.24.24,"UbiquitiNe:4E:99:7B, FA:45:3E:F0:E7:96",,Taruma,,PORTA 7 DO PATCH PANEL
up,CEEE Serraria,192.168.20.102,ZioncomEle:53:EC:03,,CEEE,,UC 62786610
up,NVR CC BCP,192.168.83.100,24:FD:0D:68:28:C6,,Intranet,,
up,GigaCore06 - OSPF - Juca Ana,177.72.104.62,Routerboar:1B:15:7D,,Juca Ana,,
up,MK POP Juca Ana,177.72.104.183,EE:8A:43:7F:EB:2A,,Juca Ana,,
up,Juca Ana => Centro TVR,192.168.5.2,18:E8:29:1E:15:CF,,Juca Ana,,
up,Patch Panel Juca Ana,192.168.5.8,MicrochipT:25:9B:03,,Juca Ana,,1 - Enlace Pântano  2 - Enlace centro TVR  3 - Enlace Olhos d'Agua  4 - Enlace Butias
up,Centro TVR => Juca Ana,192.168.5.10,18:E8:29:1F:1F:54,,Centro TVR,,
up,MK POP Centro TVR,177.72.104.184,8E:46:EE:A1:9C:A8,,Centro TVR,,
up,Patch Panel Enlaces Centro TVR,192.168.5.18,MicrochipT:9F:FC:57,,Centro TVR,,
up,Patch Panel APS Centro TVR,192.168.24.46,"0E:4D:C4:AA:27:49, MicrochipT:AC:F5:5D",,Centro TVR,,
up,Juca Ana => Olhos D'Agua,192.168.5.3,UbiquitiNe:A4:2D:E5,,Juca Ana,,
up,Olhos D'Agua => Juca Ana,192.168.5.20,UbiquitiNe:A4:2D:E4,,Olhos D'agua,,
up,Centro TVR => Campo da Honra,192.168.5.13,UbiquitiNe:FE:83:63,,Centro TVR,,
up,Campo da Honra => Centro TVR,192.168.5.40,UbiquitiNe:5C:4D:1E,,Campo honra,,
up,Centro TVR => Taruma,192.168.5.14,UbiquitiNe:E8:3B:52,,Centro TVR,,
up,Taruma => Centro TVR,192.168.5.60,UbiquitiNe:4E:9A:C9,,Taruma,,
up,CEEE Juca Ana,192.168.5.9,ZioncomEle:54:3E:5F,,CEEE,,Felipe - 5196171112
up,CEEE Centro TVR,192.168.5.19,ZioncomEle:54:11:1B,,CEEE,,UC - 1003680612
up,Juca Ana => Butias,192.168.5.4,UbiquitiNe:98:1E:AC,,Juca Ana,,
up,Juca Ana => Butias,192.168.5.4,UbiquitiNe:98:1E:AC,,Butias,,
up,Butias => Juca Ana,192.168.5.90,UbiquitiNe:2A:57:5A,,Butias,,
up,CEEE CC MST,177.72.105.216,B0:4E:26:95:3D:29,Some Device,CEEE,,UC 48430935
up,CEEE NOC CPV,192.168.115.6,ZioncomEle:54:3B:4B,Some Device,CEEE,,UC - 1003668035
up,NETPAL_CENTROTVR_NORTE,192.168.24.34,"UbiquitiNe:62:7F:DB, CA:6C:C0:62:D3:3D",,Centro TVR,,
up,NETPAL_CENTROTVR_LESTE,192.168.24.35,UbiquitiNe:A4:2D:06,,Centro TVR,,
up,NETPAL_CENTROTVR_SUL,192.168.24.36,"2A:8F:9C:B9:9D:6F, UbiquitiNe:FC:86:02",,Centro TVR,,
up,NETPAL_CENTROTVR_OESTE,192.168.24.37,"UbiquitiNe:10:93:83, AA:40:41:EF:0A:35",,Centro TVR,,
up,NETPAL_CENTROTVR_NOROESTE,192.168.24.38,"76:F3:E9:0F:8B:8A, UbiquitiNe:8A:FE:7A",,Centro TVR,,
up,Bridge Centro TVR,192.168.24.45,"7A:61:69:99:89:5F, B8:69:F4:A2:00:78",,Centro TVR,,
up,NETPAL_JUCAANA_SUL,192.168.24.51,"AE:59:5E:1A:E0:89, UbiquitiNe:5C:4E:03",,Juca Ana,,
up,NETPAL_JUCAANA_OESTE,192.168.24.50,"UbiquitiNe:FC:2D:D7, 62:4D:40:F7:A5:CF",,Juca Ana,,
up,Parceria Bueno,100.64.31.0,,,Levantes,,
unknown,JAIRO DOMINGOS BUENO,0.0.0.0,,,Levantes,,
up,NETPAL_TARUMA_SUL,192.168.24.23,"4A:D2:FC:E2:32:54, UbiquitiNe:0A:87:10",,Taruma,,
up,NETPAL_TARUMA_POSTO,192.168.24.25,"UbiquitiNe:48:A8:AC, FA:9A:1E:95:6B:E2",,Taruma,,
unknown,BRFibra (Sotrima),177.93.247.242,WatchGuard:AB:F1:79,,Last Mile,,
up,NETPAL_TARUMA_LAGOA,192.168.24.26,"92:6D:70:D6:99:D9, UbiquitiNe:92:7E:B4",,Taruma,,
up,NETPAL_JUCAANA_LESTE,192.168.24.53,"UbiquitiNe:48:A8:56, D0:39:57:D6:C5:39",,Juca Ana,,
up,NETPAL_JUCAANA_BARROSA,192.168.24.52,"UbiquitiNe:EE:3C:61, C6:AD:8A:06:B4:78",,Juca Ana,,
up,NETPAL_JUCAANA_SUDOESTE,192.168.24.54,"UbiquitiNe:FC:2F:42, 9E:89:93:69:34:CD",,Juca Ana,,
up,NETPAL_JUCAANA_BELAVISTA,192.168.24.55,"86:4E:7B:54:53:BE, UbiquitiNe:9A:5F:50",,Juca Ana,,
up,MK POP Rancho Velho,177.93.247.78,48:A9:8A:C6:6E:30,,Rancho Velho,,
up,NETPAL_PANTANO_COOPERATIVA,192.168.20.110,UbiquitiNe:26:ED:31,,Pantano,,
up,Super Uniao Filial,177.93.244.134,74:4D:28:3E:F5:AC,,Empresarial,,
up,WDS Joao Azevedo de Castro,192.168.115.34,UbiquitiNe:E8:90:68,,WDS,,
